neighbourhood,id,price,review_scores_rating,population,number_of_reviews,house_price,latitude,longitude
Laurel Canyon,11794556.83,357.7348039,95.89215686,40041.41176,31.11764706,2400000,34.10537814,-118.3775664
Lawndale,9996211.769,115.3076923,96.23076923,34924,46.76923077,580300,33.88475561,-118.3557917
Lincoln Heights,10737116.21,86.57142857,91.35714286,40044.7381,28.33333333,566200,34.07483853,-118.2095494
Lomita,10315117,99,95.23076923,21318,21.76923077,691900,33.79254719,-118.3162635
Long Beach,10882911.32,119.2369021,95.1571754,37575.43736,30.02733485,602200,33.77961775,-118.1621706
Los Feliz,11774352.68,159.6410588,95.59411765,44941.87647,25.41176471,1576000,34.10640301,-118.283202
Lynwood,8726815.6,63.2,87.4,69745,73,438100,33.91735813,-118.2091106
Malibu,11354049.41,472.6448819,93.98425197,18116,34.98425197,2959800,34.03311063,-118.749329
Manhattan Beach,11828748.28,280.1684211,95.4,34805.96842,24.18947368,2418400,33.89232531,-118.4078104
Mar Vista,12050368.77,138.1147541,94.75,53848.69672,30.98770492,1547000,34.01120801,-118.4322381
Marina Del Rey,11610390.74,225.1744186,95.3255814,21600.31977,30.84883721,1040000,33.9769205,-118.460107
Mid-City,11282596.22,90.03012048,93.15662651,59411.16265,32.30722892,1092500,34.04285984,-118.3319602
Mid-Wilshire,11553351.18,134.3796523,93.73284538,43026.51876,28.76578225,1694300,34.06643716,-118.3363457
Mission Hills,9403751,295,83,18496,14,542300,34.2708581,-118.4540371
Monrovia,11503634.62,102.0952381,94.42857143,40598,21.95238095,711900,34.1459307,-118.0040131
Montebello,9698033.75,52.5,93,62549,26.75,540200,34.0126519,-118.1156155
Montecito Heights,12743847.5,102.125,97.625,42205.25,10.875,669600,34.09072154,-118.2019789
Monterey Hills,10690352.5,77,99,58269,24.5,664500,34.09780907,-118.1836764
Monterey Park,11513060.19,113.93,93.65116279,30733.72093,27.37209302,664500,34.05553478,-118.1298657
Mount Washington,10018570.48,104.4657534,95.45205479,46831.20548,39.76712329,851700,34.10081366,-118.217677
North Hills East,8000768.333,65.5,96.5,60254,16.83333333,589600,34.23387028,-118.4638529
North Hills West,13796091.63,93.375,96.125,60254,14.75,589600,34.23431471,-118.4861517
North Hollywood,11601898.4,96.62441048,94.7510917,41298.83406,23.930131,647000,34.17769663,-118.3797168
Northridge,11792337.71,127.2352941,94.79411765,31179,22.58823529,715100,34.23680913,-118.5342046
Norwalk,4821748,42.5,97,105549,11.5,488600,33.8981219,-118.0822308
Pacific Palisades,10701070.38,317.6088506,94.68965517,20805.21839,29.97701149,3037100,34.04398377,-118.5331355
Pacoima,17760417.33,77.66666667,80,103689,4.333333333,472600,34.26687518,-118.4043428
Palms,11543586.78,91.68,95.46,56679.55,14.45,1167400,34.02372304,-118.4068596
Palos Verdes,13999649.8,421,97.4,25209,23.8,2023100,33.79166053,-118.3823512
Panorama City,7095078.667,59.77777778,92.77777778,73580.55556,4.666666667,482300,34.22809367,-118.4505674
Paramount,5262247,95,99,54099,151,432400,33.90746157,-118.1663732
Pasadena,11432531.12,145.8916084,95.55244755,26561.98252,23.24475524,826900,34.150424,-118.1322475
Pico Rivera,10158148.78,55.88888889,97,62928,51.66666667,491000,33.98892869,-118.0901814
Porter Ranch,11834495.4,121.6,94.6,33708,12,792700,34.28053352,-118.5664088
Rancho Palos Verdes,10562160.36,284.6425,92.96428571,41065.10714,25.10714286,1325900,33.75825261,-118.3693128
Redondo Beach,10781935.06,140.5820896,95.70149254,36990.41791,26.41791045,1078800,33.85124459,-118.3796758
Reseda,10646945.64,80.41025641,92.23076923,74363,9.717948718,545500,34.19969874,-118.5403929
Rolling Hills,1201362,90,100,25209,4,3266300,33.77102687,-118.3595033
Rolling Hills Estates,6305463.5,170,95.5,25209,68,1395100,33.77257524,-118.3283446
Rosemead,11630390.61,112.8333333,94.38888889,62097,15.88888889,617800,34.0683999,-118.0933261
San Gabriel,11338180.74,82.60465116,91.37209302,37464.27907,25.90697674,764300,34.08413769,-118.0972065
San Marino,13811173.17,139.5,96.66666667,13361,3.333333333,2291200,34.11794017,-118.1213122
San Pedro,13191154.35,98.82352941,94.82352941,44923.44118,36.67647059,624200,33.72748373,-118.2989668
Santa Fe Springs,6390159,50,100,14866,3,500200,33.94147514,-118.0664166
Santa Monica,11352537.08,177.4592081,94.21493213,20650.15837,34.59728507,1663700,34.01856729,-118.484351
Sherman Oaks,11537252.42,179.7860116,96.61271676,29011.23699,17.63583815,985700,34.15639154,-118.443492
Sierra Madre,15483156.75,97,94,10917,34.5,1009800,34.16743521,-118.0532811
Signal Hill,9605635.167,114.6666667,90.5,19696,59.5,518700,33.79884122,-118.1678936
Silver Lake,10954534.37,136.5102564,96.7025641,52185.19744,35.58974359,1202900,34.09120565,-118.2728487
Skid Row,10688821.24,143.6470588,93.94117647,10369.94118,23.41176471,615600,34.04458137,-118.2474091
South El Monte,14013142,60,99,43896,19,494000,34.03618397,-118.0420913
South Gate,1620039,33,88,94396,12,447800,33.94409165,-118.1629091
South LA,11219170.47,83.99386503,90.54601227,46345.74233,22.55828221,494400,34.00582169,-118.3130937
South Pasadena,11533649.97,152.6875,96.96875,26766.4375,24.625,1240900,34.11283597,-118.1579754
South Robertson,10650699.61,118.1111111,94.22222222,38794.45098,19.5751634,1148600,34.04769869,-118.386116
South San Gabriel,8511225.75,67.5,93.5,62097,35,764300,34.04162572,-118.0871076
South Whittier,10663181,93.33333333,96.33333333,40023,24.66666667,519300,33.94378565,-118.0388535
Studio City,11945351.23,194.0219853,95.51470588,27301.91912,17.36764706,1309100,34.14320407,-118.3896227
Sun Valley,12838553.75,84.625,93,43886.875,19.25,562400,34.21518666,-118.3685371
Sunland/Tujunga,10049172.87,155.3326667,96.6,27288.86667,29.73333333,597800,34.25348447,-118.283021
Sylmar,12042062.25,120.375,94.75,75613.75,14.625,526600,34.30461076,-118.4346096
Tarzana,14029290.71,116.6315789,93.94736842,38911.68421,20.07894737,805600,34.16894466,-118.5453643
Temple City,10320715.45,78.03225806,94.4516129,34179.06452,13,773200,34.10313846,-118.0574575
Toluca Lake,11475342.03,149.9705882,96.17647059,20950.70588,20.76470588,948700,34.15328534,-118.3635994
Topanga,12054918.89,228.7455932,96.19491525,7392.669492,46.70338983,1236500,34.10188382,-118.6069221
Torrance,13059978,131.119403,95.74626866,37549.02985,26.37313433,819900,33.83142644,-118.3538233
