zip,zip_lat,zip_lng,city,state_id,state_name,population,density,county_name
765,18.128510000000002,-65.44093000000001,Vieques,PR,Puerto Rico,9098,184.5,Vieques
766,18.13299,-66.47703,Villalba,PR,Puerto Rico,26488,255.4,Villalba
767,18.070529999999998,-65.89604,Yabucoa,PR,Puerto Rico,38019,264.9,Yabucoa
769,18.097,-66.36101,Coamo,PR,Puerto Rico,40248,203.1,Coamo
771,18.187479999999997,-65.86931,Las Piedras,PR,Puerto Rico,38394,438.3,Las Piedras
772,18.43267,-65.90836,Loiza,PR,Puerto Rico,23105,608.6,Loíza
773,18.34173,-65.7274,Luquillo,PR,Puerto Rico,20068,318.7,Luquillo
775,18.313470000000002,-65.29016999999999,Culebra,PR,Puerto Rico,1786,65.3,Culebra
777,18.22356,-65.90881,Juncos,PR,Puerto Rico,40684,591.0,Juncos
778,18.263379999999998,-65.97936,Gurabo,PR,Puerto Rico,45429,591.7,Gurabo
780,18.10417,-66.57174,Coto Laurel,PR,Puerto Rico,13800,264.8,Ponce
782,18.22544,-66.22216,Comerio,PR,Puerto Rico,19304,279.7,Comerío
783,18.3041,-66.32847,Corozal,PR,Puerto Rico,36557,337.3,Corozal
784,18.00543,-66.13391999999999,Guayama,PR,Puerto Rico,44637,310.2,Guayama
786,18.15536,-66.22991999999999,La Plata,PR,Puerto Rico,357,535.8,Aibonito
791,18.14069,-65.818,Humacao,PR,Puerto Rico,53417,558.0,Humacao
794,18.20155,-66.30872,Barranquitas,PR,Puerto Rico,30585,334.6,Barranquitas
795,18.05931,-66.50178000000001,Juana Diaz,PR,Puerto Rico,48736,406.8,Juana Díaz
901,18.465320000000002,-66.10485,San Juan,PR,Puerto Rico,7080,2792.2,San Juan
906,18.46446,-66.09499,San Juan,PR,Puerto Rico,4,485.0,San Juan
907,18.453129999999998,-66.07778,San Juan,PR,Puerto Rico,17458,5598.0,San Juan
909,18.44153,-66.06723000000001,San Juan,PR,Puerto Rico,6230,3940.6,San Juan
911,18.45135,-66.05631,San Juan,PR,Puerto Rico,8623,6996.3,San Juan
912,18.445339999999998,-66.06018,San Juan,PR,Puerto Rico,6801,7880.9,San Juan
913,18.45022,-66.04267,San Juan,PR,Puerto Rico,9312,11154.2,San Juan
915,18.43691,-66.04562,San Juan,PR,Puerto Rico,32820,9073.9,San Juan
917,18.4214,-66.05005,San Juan,PR,Puerto Rico,21053,6265.8,San Juan
918,18.42138,-66.06588,San Juan,PR,Puerto Rico,18056,3272.8,San Juan
920,18.41571,-66.08889,San Juan,PR,Puerto Rico,17893,2430.1,San Juan
921,18.39224,-66.08853,San Juan,PR,Puerto Rico,37763,5452.9,San Juan
923,18.40953,-66.03866,San Juan,PR,Puerto Rico,29086,5502.9,San Juan
924,18.39827,-66.01289,San Juan,PR,Puerto Rico,56691,4667.1,San Juan
925,18.40031,-66.05055,San Juan,PR,Puerto Rico,8696,7509.0,San Juan
926,18.3462,-66.05234,San Juan,PR,Puerto Rico,108862,1739.6,San Juan
927,18.38875,-66.07189,San Juan,PR,Puerto Rico,14936,2195.3,San Juan
934,18.411379999999998,-66.12399,Fort Buchanan,PR,Puerto Rico,288,148.4,Guaynabo
936,18.39548,-66.07376,San Juan,PR,Puerto Rico,681,1629.4,San Juan
949,18.43017,-66.20883,Toa Baja,PR,Puerto Rico,82278,1806.9,Toa Baja
950,18.46208,-66.2376,Toa Baja,PR,Puerto Rico,9,1.5,Dorado
951,18.428420000000003,-66.25661,Toa Baja,PR,Puerto Rico,35,32.5,Toa Baja
952,18.42748,-66.18207,Sabana Seca,PR,Puerto Rico,10008,3122.6,Toa Baja
953,18.363120000000002,-66.2475,Toa Alta,PR,Puerto Rico,73014,1056.0,Toa Alta
956,18.32082,-66.17175,Bayamon,PR,Puerto Rico,79304,1156.6,Bayamón
957,18.36735,-66.18869000000001,Bayamon,PR,Puerto Rico,45680,3816.9,Bayamón
959,18.38485,-66.15583000000001,Bayamon,PR,Puerto Rico,50560,3042.5,Bayamón
960,18.41701,-66.14446,Bayamon,PR,Puerto Rico,1779,751.8,Bayamón
961,18.41011,-66.16538,Bayamon,PR,Puerto Rico,32429,2419.3,Bayamón
962,18.43904,-66.13928,Catano,PR,Puerto Rico,22491,2274.4,Cataño
965,18.43385,-66.11486,Guaynabo,PR,Puerto Rico,9134,5230.2,Guaynabo
966,18.402260000000002,-66.11757,Guaynabo,PR,Puerto Rico,16676,1999.6,Guaynabo
968,18.40617,-66.10127,Guaynabo,PR,Puerto Rico,3478,2933.4,Guaynabo
969,18.36751,-66.10852,Guaynabo,PR,Puerto Rico,42219,3338.3,Guaynabo
971,18.32131,-66.11811,Guaynabo,PR,Puerto Rico,30986,749.5,Guaynabo
976,18.33844,-65.9921,Trujillo Alto,PR,Puerto Rico,65136,1502.5,Trujillo Alto
979,18.43649,-66.01699,Carolina,PR,Puerto Rico,17030,4207.9,Carolina
982,18.40992,-65.9917,Carolina,PR,Puerto Rico,16428,4473.5,Carolina
983,18.418039999999998,-65.97632,Carolina,PR,Puerto Rico,39234,4373.3,Carolina
985,18.40825,-65.94842,Carolina,PR,Puerto Rico,36553,1734.9,Carolina
987,18.33935,-65.94313000000001,Carolina,PR,Puerto Rico,63661,989.3,Carolina
1001,42.06258,-72.6259,Agawam,MA,Massachusetts,16769,562.8,Hampden
1002,42.37492,-72.4621,Amherst,MA,Massachusetts,29049,203.7,Hampshire
1003,42.39192,-72.52479,Amherst,MA,Massachusetts,10372,5629.7,Hampshire
1005,42.42018,-72.10615,Barre,MA,Massachusetts,5079,44.3,Worcester
1007,42.27875,-72.40035999999999,Belchertown,MA,Massachusetts,14649,107.5,Hampshire
1008,42.18428,-72.95203000000001,Blandford,MA,Massachusetts,1263,9.1,Hampden
1009,42.209720000000004,-72.33971,Bondsville,MA,Massachusetts,741,352.1,Hampden
1010,42.12863,-72.20624000000001,Brimfield,MA,Massachusetts,3609,40.1,Hampden
1011,42.29653,-72.95969000000001,Chester,MA,Massachusetts,1370,16.7,Hampden
1012,42.38698,-72.84631999999999,Chesterfield,MA,Massachusetts,661,19.5,Hampshire
1013,42.1595,-72.60824000000001,Chicopee,MA,Massachusetts,23188,1589.6,Hampden
1020,42.17637,-72.56537,Chicopee,MA,Massachusetts,29668,914.6,Hampden
1022,42.197309999999995,-72.54267,Chicopee,MA,Massachusetts,2451,198.3,Hampden
1026,42.4633,-72.92024,Cummington,MA,Massachusetts,946,15.2,Hampshire
