city_y,id,price,zip,latitude,longitude,review_scores_rating
Redondo Beach,10713320.0,100.0,90277.0,33.84441699,-118.38176974999999,97.0
Pasadena,12807929.0,100.0,91105.0,34.14986519,-118.1352271,98.0
Glendale,13449011.0,100.0,91204.0,34.16014898,-118.2579705,97.0
Porter Ranch,11623088.5,104.0,91326.0,34.27995383,-118.5644998,97.0
Sherman Oaks,12560110.0,105.0,91423.0,34.15409323,-118.4433531,99.0
South Pasadena,12411491.0,105.0,91030.0,34.11298157,-118.1563716,98.0
Hawaiian Gardens,12623807.5,107.5,90716.0,33.829715825,-118.0754881,96.5
Studio City,13326222.5,120.0,91604.0,34.142014425,-118.39089245,98.0
La Canada Flintridge,10322206.5,122.5,91011.0,34.20070892,-118.200378,97.0
Signal Hill,8618981.0,132.0,90755.0,33.793550355,-118.16324745,88.5
Santa Monica,12383703.0,135.0,90404.0,34.0197367,-118.48619,96.0
Rancho Palos Verdes,9489830.0,135.0,90275.0,33.75906303,-118.3880613,95.0
Playa Vista,13164373.0,135.0,90094.0,33.9737509,-118.425569,93.0
Playa Del Rey,11150118.0,145.0,90293.0,33.95859101,-118.4436178,96.0
West Hollywood,10496558.0,145.0,90069.0,34.08920135,-118.3793531,97.0
Topanga,12957575.0,150.0,90290.0,34.10414324,-118.6017477,98.0
Venice,12079295.0,155.0,90291.0,33.993098295,-118.46767094999998,96.0
Beverly Hills,11455372.0,165.0,90211.0,34.0669856,-118.3972595,96.0
Palos Verdes Peninsula,11432740.5,170.0,90274.0,33.784305405,-118.3638234,97.0
Pacific Palisades,12764112.0,175.0,90272.0,34.04434784,-118.5381878,98.0
Marina Del Rey,12705068.0,175.0,90292.0,33.97902896,-118.4602896,96.0
Hermosa Beach,14022330.0,175.0,90254.0,33.86154706,-118.39819740000002,97.0
Manhattan Beach,12488997.0,209.0,90266.0,33.89518642,-118.4106651,97.0
Mission Hills,9403751.0,295.0,91345.0,34.2708581,-118.4540371,83.0
Malibu,11874600.0,300.0,90265.0,34.03677847,-118.7865858,97.0
San Fernando,16173452.0,452.0,91340.0,34.30348334,-118.4279044,98.0
